Activity 2,Activity 3
0.605703539,0.964730988
0.316191544,0.026733702
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.183075027,0.766356281
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.605703539,0.964730988
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.183075027,0.766356281
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.183075027,0.766356281
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281
0.605703539,0.964730988
0.316191544,0.026733702
0.705934251,0.143290362
0.443313263,0.457859747
0.760824832,0.360404368
0.053600175,0.724183619
0.781035648,0.705351425
0.626433697,0.616910323
0.183075027,0.766356281